name,size
more infinitesimal,28
much infinitesimal,-1
really infinitesimal,-21
small-scale,38
very small-scale,8
less small-scale,48
more small-scale,28
much small-scale,-1
really small-scale,-21
bitty,35
very bitty,5
less bitty,45
more bitty,25
much bitty,-4
really bitty,-24
midget,39
very midget,9
less midget,49
more midget,29
much midget,0
really midget,-20
atomic,35
very atomic,5
less atomic,45
more atomic,25
much atomic,-4
really atomic,-24
teensy-weensy,34
very teensy-weensy,4
less teensy-weensy,44
more teensy-weensy,24
much teensy-weensy,-5
really teensy-weensy,-25
puny,36
very puny,6
less puny,46
more puny,26
much puny,-3
really puny,-23
shrimpy,39
very shrimpy,9
less shrimpy,49
more shrimpy,29
much shrimpy,0
really shrimpy,-20
runty,39
very runty,9
less runty,49
more runty,29
much runty,0
really runty,-20
gnomish,37
very gnomish,7
less gnomish,47
more gnomish,27
much gnomish,-2
really gnomish,-22
elfin,30
very elfin,0
less elfin,40
more elfin,20
much elfin,-9
really elfin,-29
pocket-size,36
very pocket-size,6
less pocket-size,46
more pocket-size,26
much pocket-size,-3
really pocket-size,-23
half-size,34
very half-size,4
less half-size,44
more half-size,24
much half-size,-5
really half-size,-25
little,36
very little,6
less little,46
more little,26
much little,-3
really little,-23
dinky,38
very dinky,8
less dinky,48
more dinky,28
much dinky,-1
really dinky,-21
micro,32
very micro,2
less micro,42
more micro,22
much micro,-7
really micro,-27
itsy-bitsy,37
very itsy-bitsy,7
less itsy-bitsy,47
more itsy-bitsy,27
much itsy-bitsy,-2
really itsy-bitsy,-22
bantam,31
very bantam,1
less bantam,41
more bantam,21
much bantam,-8
really bantam,-28
bittie,32
very bittie,2
less bittie,42
more bittie,22
much bittie,-7
really bittie,-27
dwarfish,37
very dwarfish,7
less dwarfish,47
more dwarfish,27
much dwarfish,-2
really dwarfish,-22
teeny-weeny,33
very teeny-weeny,3
less teeny-weeny,43
more teeny-weeny,23
much teeny-weeny,-6
really teeny-weeny,-26
smallish,38
very smallish,8
less smallish,48
more smallish,28
much smallish,-1
really smallish,-21
itty-bitty,31
very itty-bitty,1
less itty-bitty,41
more itty-bitty,21
much itty-bitty,-8
really itty-bitty,-28
pocket-sized,31
very pocket-sized,1
less pocket-sized,41
more pocket-sized,21
much pocket-sized,-8
really pocket-sized,-28
smallest,13
very smallest,-16
less smallest,23
more smallest,3
much smallest,-26
really smallest,-46
small,36
very small,6
less small,46
more small,26
much small,-3
really small,-23
mean,40
very mean,70
less mean,30
more mean,50
much mean,80
really mean,100
normal,51
very normal,81
less normal,41
more normal,61
much normal,91
really normal,111
average,58
very average,88
less average,48
more average,68
much average,98
really average,118
biggish,109
very biggish,139
less biggish,99
more biggish,119
much biggish,149
really biggish,169
macroscopic,106
very macroscopic,136
less macroscopic,96
more macroscopic,116
much macroscopic,146
really macroscopic,166
jumbo,109
very jumbo,139
less jumbo,99
more jumbo,119
much jumbo,149
really jumbo,169
blown-up,116
very blown-up,146
less blown-up,106
more blown-up,126
much blown-up,156
really blown-up,176
thumping,117
very thumping,147
less thumping,107
more thumping,127
much thumping,157
really thumping,177
massive,116
very massive,146
less massive,106
more massive,126
much massive,156
really massive,176
wide,103
very wide,133
less wide,93
more wide,113
much wide,143
really wide,163
wide-ranging,119
very wide-ranging,149
less wide-ranging,109
more wide-ranging,129
much wide-ranging,159
really wide-ranging,179
puffy,112
very puffy,142
less puffy,102
more puffy,122
much puffy,152
really puffy,172
overlarge,101
very overlarge,131
less overlarge,91
more overlarge,111
much overlarge,141
really overlarge,161
voluminous,114
very voluminous,144
less voluminous,104
more voluminous,124
much voluminous,154
really voluminous,174
tremendous,119
very tremendous,149
less tremendous,109
more tremendous,129
much tremendous,159
really tremendous,179
bouffant,108
very bouffant,138
less bouffant,98
more bouffant,118
much bouffant,148
really bouffant,168
hulky,113
very hulky,143
less hulky,103
more hulky,123
much hulky,153
really hulky,173
volumed,106
very volumed,136
less volumed,96
more volumed,116
much volumed,146
really volumed,166
spacious,104
very spacious,134
less spacious,94
more spacious,114
much spacious,144
really spacious,164
stupendous,114
very stupendous,144
less stupendous,104
more stupendous,124
much stupendous,154
really stupendous,174
astronomic,100
very astronomic,130
less astronomic,90
more astronomic,110
much astronomic,140
really astronomic,160
capacious,116
very capacious,146
less capacious,106
more capacious,126
much capacious,156
really capacious,176
enormous,110
very enormous,140
less enormous,100
more enormous,120
much enormous,150
really enormous,170
deep,101
very deep,131
less deep,91
more deep,111
much deep,141
really deep,161
mammoth,102
very mammoth,132
less mammoth,92
more mammoth,112
much mammoth,142
really mammoth,162
life-sized,112
very life-sized,142
less life-sized,102
more life-sized,122
much life-sized,152
really life-sized,172
monstrous,117
very monstrous,147
less monstrous,107
more monstrous,127
much monstrous,157
really monstrous,177
too large,105
very too large,135
less too large,95
more too large,115
much too large,145
really too large,165
monumental,119
very monumental,149
less monumental,109
more monumental,129
much monumental,159
really monumental,179
gigantic,102
very gigantic,132
less gigantic,92
more gigantic,112
much gigantic,142
really gigantic,162
queen-size,117
very queen-size,147
less queen-size,107
more queen-size,127
much queen-size,157
really queen-size,177
titanic,107
very titanic,137
less titanic,97
more titanic,117
much titanic,147
really titanic,167
epic,101
very epic,131
less epic,91
more epic,111
much epic,141
really epic,161
larger-than-life,105
very larger-than-life,135
less larger-than-life,95
more larger-than-life,115
much larger-than-life,145
really larger-than-life,165
broad,115
very broad,145
less broad,105
more broad,125
much broad,155
really broad,175
gargantuan,117
very gargantuan,147
less gargantuan,107
more gargantuan,127
much gargantuan,157
really gargantuan,177
cosmic,102
very cosmic,132
less cosmic,92
more cosmic,112
much cosmic,142
really cosmic,162
monolithic,110
very monolithic,140
less monolithic,100
more monolithic,120
much monolithic,150
really monolithic,170
banging,113
very banging,143
less banging,103
more banging,123
much banging,153
really banging,173
large-mouthed,106
very large-mouthed,136
less large-mouthed,96
more large-mouthed,116
much large-mouthed,146
really large-mouthed,166
bulky,117
very bulky,147
less bulky,107
more bulky,127
much bulky,157
really bulky,177
Brobdingnagian,105
very Brobdingnagian,135
less Brobdingnagian,95
more Brobdingnagian,115
much Brobdingnagian,145
really Brobdingnagian,165
oversized,100
very oversized,130
less oversized,90
more oversized,110
much oversized,140
really oversized,160
man-sized,100
very man-sized,130
less man-sized,90
more man-sized,110
much man-sized,140
really man-sized,160
giant,113
very giant,143
less giant,103
more giant,123
much giant,153
really giant,173
oversize,111
very oversize,141
less oversize,101
more oversize,121
much oversize,151
really oversize,171
macroscopical,118
very macroscopical,148
less macroscopical,108
more macroscopical,128
much macroscopical,158
really macroscopical,178
heroic,118
very heroic,148
less heroic,108
more heroic,128
much heroic,158
really heroic,178
bigger,118
very bigger,148
less bigger,108
more bigger,128
much bigger,158
really bigger,178
outsized,100
very outsized,130
less outsized,90
more outsized,110
much outsized,140
really outsized,160
plumping,114
very plumping,144
less plumping,104
more plumping,124
much plumping,154
really plumping,174
outsize,114
very outsize,144
less outsize,104
more outsize,124
much outsize,154
really outsize,174
larger,113
very larger,143
less larger,103
more larger,123
much larger,153
really larger,173
medium-large,114
very medium-large,144
less medium-large,104
more medium-large,124
much medium-large,154
really medium-large,174
whopping,118
very whopping,148
less whopping,108
more whopping,128
much whopping,158
really whopping,178
king-size,112
very king-size,142
less king-size,102
more king-size,122
much king-size,152
really king-size,172
lifesize,107
very lifesize,137
less lifesize,97
more lifesize,117
much lifesize,147
really lifesize,167
large-scale,110
very large-scale,140
less large-scale,100
more large-scale,120
much large-scale,150
really large-scale,170
mountainous,104
very mountainous,134
less mountainous,94
more mountainous,114
much mountainous,144
really mountainous,164
macro,111
very macro,141
less macro,101
more macro,121
much macro,151
really macro,171
whacking,100
very whacking,130
less whacking,90
more whacking,110
much whacking,140
really whacking,160
colossal,103
very colossal,133
less colossal,93
more colossal,113
much colossal,143
really colossal,163
vast,106
very vast,136
less vast,96
more vast,116
much vast,146
really vast,166
grand,115
very grand,145
less grand,105
more grand,125
much grand,155
really grand,175
bear-sized,114
very bear-sized,144
less bear-sized,104
more bear-sized,124
much bear-sized,154
really bear-sized,174
sizable,106
very sizable,136
less sizable,96
more sizable,116
much sizable,146
really sizable,166
super,112
very super,142
less super,102
more super,122
much super,152
really super,172
extended,100
very extended,130
less extended,90
more extended,110
much extended,140
really extended,160
enlarged,103
very enlarged,133
less enlarged,93
more enlarged,113
much enlarged,143
really enlarged,163
great,119
very great,149
less great,109
more great,129
much great,159
really great,179
hulking,105
very hulking,135
less hulking,95
more hulking,115
much hulking,145
really hulking,165
large,107
very large,137
less large,97
more large,117
much large,147
really large,167
sizeable,110
very sizeable,140
less sizeable,100
more sizeable,120
much sizeable,150
really sizeable,170
largish,105
very largish,135
less largish,95
more largish,115
much largish,145
really largish,165
elephantine,109
very elephantine,139
less elephantine,99
more elephantine,119
much elephantine,149
really elephantine,169
prodigious,104
very prodigious,134
less prodigious,94
more prodigious,114
much prodigious,144
really prodigious,164
humongous,100
very humongous,130
less humongous,90
more humongous,110
much humongous,140
really humongous,160
huge,103
very huge,133
less huge,93
more huge,113
much huge,143
really huge,163
galactic,110
very galactic,140
less galactic,100
more galactic,120
much galactic,150
really galactic,170
ample,101
very ample,131
less ample,91
more ample,111
much ample,141
really ample,161
immense,108
very immense,138
less immense,98
more immense,118
much immense,148
really immense,168
rangy,106
very rangy,136
less rangy,96
more rangy,116
much rangy,146
really rangy,166
extensive,108
very extensive,138
less extensive,98
more extensive,118
much extensive,148
really extensive,168
king-sized,101
very king-sized,131
less king-sized,91
more king-sized,111
much king-sized,141
really king-sized,161
full-size,118
very full-size,148
less full-size,108
more full-size,128
much full-size,158
really full-size,178
life-size,109
very life-size,139
less life-size,99
more life-size,119
much life-size,149
really life-size,169
astronomical,116
very astronomical,146
less astronomical,106
more astronomical,126
much astronomical,156
really astronomical,176
walloping,119
very walloping,149
less walloping,109
more walloping,129
much walloping,159
really walloping,179
queen-sized,106
very queen-sized,136
less queen-sized,96
more queen-sized,116
much queen-sized,146
really queen-sized,166
double,109
very double,139
less double,99
more double,119
much double,149
really double,169
big,89
very big,119
less big,79
more big,99
much big,129
really big,149
biggest,113
very biggest,143
less biggest,103
more biggest,123
much biggest,153
really biggest,173
