Specification,Keyword,RGB hex value
CSS Color Module Level 3,seagreen,#2e8b57
CSS Color Module Level 3,seashell,#fff5ee
CSS Color Module Level 3,sienna,#a0522d
CSS Color Module Level 3,sky blue,#87ceeb
CSS Color Module Level 3,slate blue,#6a5acd
CSS Color Module Level 3,slate gray,#708090
CSS Color Module Level 3,slate grey,#708090
CSS Color Module Level 3,snow,#fffafa
CSS Color Module Level 3,spring green,#00ff7f
CSS Color Module Level 3,steel blue,#4682b4
CSS Color Module Level 3,tan,#d2b48c
CSS Color Module Level 3,thistle,#d8bfd8
CSS Color Module Level 3,tomato,#ff6347
CSS Color Module Level 3,turquoise,#40e0d0
CSS Color Module Level 3,violet,#ee82ee
CSS Color Module Level 3,wheat,#f5deb3
CSS Color Module Level 3,whitesmoke,#f5f5f5
CSS Color Module Level 3,yellow green,#9acd32
CSS Color Module Level 4,rebecca purple,#663399
