name,size
more jumbo,1.31
much jumbo,1.64
really jumbo,1.75
blown-up,1.16
very blown-up,2.09
less blown-up,0.81
more blown-up,1.39
much blown-up,1.74
really blown-up,1.86
thumping,1.18
very thumping,2.12
less thumping,0.82
more thumping,1.41
much thumping,1.76
really thumping,1.88
massive,1.16
very massive,2.09
less massive,0.81
more massive,1.39
much massive,1.74
really massive,1.86
wide,1.04
very wide,1.87
less wide,0.73
more wide,1.25
much wide,1.56
really wide,1.66
wide-ranging,1.2
very wide-ranging,2.16
less wide-ranging,0.84
more wide-ranging,1.44
much wide-ranging,1.8
really wide-ranging,1.92
puffy,1.13
very puffy,2.03
less puffy,0.79
more puffy,1.35
much puffy,1.69
really puffy,1.8
overlarge,1.02
very overlarge,1.83
less overlarge,0.71
more overlarge,1.22
much overlarge,1.53
really overlarge,1.63
voluminous,1.15
very voluminous,2.06
less voluminous,0.8
more voluminous,1.37
much voluminous,1.72
really voluminous,1.83
tremendous,1.2
very tremendous,2.16
less tremendous,0.84
more tremendous,1.44
much tremendous,1.8
really tremendous,1.92
bouffant,1.08
very bouffant,1.94
less bouffant,0.76
more bouffant,1.3
much bouffant,1.62
really bouffant,1.73
hulky,1.14
very hulky,2.04
less hulky,0.79
more hulky,1.36
much hulky,1.7
really hulky,1.82
volumed,1.06
very volumed,1.91
less volumed,0.74
more volumed,1.28
much volumed,1.59
really volumed,1.7
spacious,1.04
very spacious,1.88
less spacious,0.73
more spacious,1.25
much spacious,1.56
really spacious,1.67
stupendous,1.14
very stupendous,2.06
less stupendous,0.8
more stupendous,1.37
much stupendous,1.72
really stupendous,1.83
astronomic,1.0
very astronomic,1.8
less astronomic,0.7
more astronomic,1.2
much astronomic,1.5
really astronomic,1.6
capacious,1.16
very capacious,2.1
less capacious,0.82
more capacious,1.4
much capacious,1.75
really capacious,1.86
enormous,1.11
very enormous,1.99
less enormous,0.77
more enormous,1.33
much enormous,1.66
really enormous,1.77
deep,1.02
very deep,1.84
less deep,0.71
more deep,1.22
much deep,1.53
really deep,1.63
mammoth,1.02
very mammoth,1.84
less mammoth,0.72
more mammoth,1.23
much mammoth,1.54
really mammoth,1.64
life-sized,1.13
very life-sized,2.03
less life-sized,0.79
more life-sized,1.36
much life-sized,1.69
really life-sized,1.81
monstrous,1.17
very monstrous,2.11
less monstrous,0.82
more monstrous,1.41
much monstrous,1.76
really monstrous,1.88
too large,1.06
very too large,1.9
less too large,0.74
more too large,1.27
much too large,1.58
really too large,1.69
monumental,1.2
very monumental,2.15
less monumental,0.84
more monumental,1.43
much monumental,1.79
really monumental,1.91
gigantic,1.02
very gigantic,1.84
less gigantic,0.71
more gigantic,1.22
much gigantic,1.53
really gigantic,1.63
queen-size,1.17
very queen-size,2.11
less queen-size,0.82
more queen-size,1.4
much queen-size,1.76
really queen-size,1.87
titanic,1.08
very titanic,1.94
less titanic,0.76
more titanic,1.3
much titanic,1.62
really titanic,1.73
epic,1.02
very epic,1.83
less epic,0.71
more epic,1.22
much epic,1.52
really epic,1.63
larger-than-life,1.05
very larger-than-life,1.9
less larger-than-life,0.74
more larger-than-life,1.27
much larger-than-life,1.58
really larger-than-life,1.69
broad,1.16
very broad,2.09
less broad,0.81
more broad,1.39
much broad,1.74
really broad,1.85
gargantuan,1.17
very gargantuan,2.11
less gargantuan,0.82
more gargantuan,1.41
much gargantuan,1.76
really gargantuan,1.88
cosmic,1.03
very cosmic,1.85
less cosmic,0.72
more cosmic,1.23
much cosmic,1.54
really cosmic,1.64
monolithic,1.1
very monolithic,1.99
less monolithic,0.77
more monolithic,1.33
much monolithic,1.66
really monolithic,1.77
banging,1.13
very banging,2.03
less banging,0.79
more banging,1.36
much banging,1.7
really banging,1.81
large-mouthed,1.07
very large-mouthed,1.92
less large-mouthed,0.75
more large-mouthed,1.28
much large-mouthed,1.6
really large-mouthed,1.71
bulky,1.17
very bulky,2.11
less bulky,0.82
more bulky,1.41
much bulky,1.76
really bulky,1.88
Brobdingnagian,1.06
very Brobdingnagian,1.9
less Brobdingnagian,0.74
more Brobdingnagian,1.27
much Brobdingnagian,1.58
really Brobdingnagian,1.69
oversized,1.0
very oversized,1.81
less oversized,0.7
more oversized,1.2
much oversized,1.51
really oversized,1.61
man-sized,1.01
very man-sized,1.81
less man-sized,0.71
more man-sized,1.21
much man-sized,1.51
really man-sized,1.61
giant,1.14
very giant,2.05
less giant,0.8
more giant,1.36
much giant,1.7
really giant,1.82
oversize,1.11
very oversize,2.0
less oversize,0.78
more oversize,1.33
much oversize,1.67
really oversize,1.78
macroscopical,1.19
very macroscopical,2.14
less macroscopical,0.83
more macroscopical,1.43
much macroscopical,1.78
really macroscopical,1.9
heroic,1.19
very heroic,2.14
less heroic,0.83
more heroic,1.43
much heroic,1.78
really heroic,1.9
bigger,1.18
very bigger,2.13
less bigger,0.83
more bigger,1.42
much bigger,1.77
really bigger,1.89
outsized,1.01
very outsized,1.82
less outsized,0.71
more outsized,1.21
much outsized,1.51
really outsized,1.61
plumping,1.15
very plumping,2.07
less plumping,0.8
more plumping,1.38
much plumping,1.72
really plumping,1.84
outsize,1.14
very outsize,2.05
less outsize,0.8
more outsize,1.37
much outsize,1.71
really outsize,1.82
larger,1.13
very larger,2.04
less larger,0.79
more larger,1.36
much larger,1.7
really larger,1.81
medium-large,1.14
very medium-large,2.06
less medium-large,0.8
more medium-large,1.37
much medium-large,1.71
really medium-large,1.83
whopping,1.18
very whopping,2.12
less whopping,0.83
more whopping,1.42
much whopping,1.77
really whopping,1.89
king-size,1.13
very king-size,2.03
less king-size,0.79
more king-size,1.35
much king-size,1.69
really king-size,1.8
lifesize,1.07
very lifesize,1.93
less lifesize,0.75
more lifesize,1.29
much lifesize,1.61
really lifesize,1.72
large-scale,1.11
very large-scale,1.99
less large-scale,0.78
more large-scale,1.33
much large-scale,1.66
really large-scale,1.77
mountainous,1.04
very mountainous,1.87
less mountainous,0.73
more mountainous,1.25
much mountainous,1.56
really mountainous,1.67
macro,1.12
very macro,2.01
less macro,0.78
more macro,1.34
much macro,1.68
really macro,1.79
whacking,1.0
very whacking,1.8
less whacking,0.7
more whacking,1.2
much whacking,1.5
really whacking,1.6
colossal,1.03
very colossal,1.85
less colossal,0.72
more colossal,1.24
much colossal,1.55
really colossal,1.65
vast,1.07
very vast,1.92
less vast,0.75
more vast,1.28
much vast,1.6
really vast,1.71
grand,1.16
very grand,2.08
less grand,0.81
more grand,1.39
much grand,1.74
really grand,1.85
bear-sized,1.14
very bear-sized,2.06
less bear-sized,0.8
more bear-sized,1.37
much bear-sized,1.72
really bear-sized,1.83
sizable,1.07
very sizable,1.92
less sizable,0.75
more sizable,1.28
much sizable,1.6
really sizable,1.71
super,1.12
very super,2.02
less super,0.79
more super,1.35
much super,1.69
really super,1.8
extended,1.01
very extended,1.81
less extended,0.71
more extended,1.21
much extended,1.51
really extended,1.61
enlarged,1.03
very enlarged,1.86
less enlarged,0.72
more enlarged,1.24
much enlarged,1.55
really enlarged,1.65
great,1.2
very great,2.15
less great,0.84
more great,1.44
much great,1.79
really great,1.91
hulking,1.06
very hulking,1.9
less hulking,0.74
more hulking,1.27
much hulking,1.59
really hulking,1.69
large,1.08
very large,1.94
less large,0.76
more large,1.29
much large,1.62
really large,1.73
sizeable,1.11
very sizeable,2.0
less sizeable,0.78
more sizeable,1.33
much sizeable,1.66
really sizeable,1.78
largish,1.06
very largish,1.91
less largish,0.74
more largish,1.27
much largish,1.59
really largish,1.69
elephantine,1.1
very elephantine,1.97
less elephantine,0.77
more elephantine,1.31
much elephantine,1.64
really elephantine,1.75
prodigious,1.05
very prodigious,1.89
less prodigious,0.73
more prodigious,1.26
much prodigious,1.57
really prodigious,1.68
humongous,1.01
very humongous,1.82
less humongous,0.71
more humongous,1.21
much humongous,1.51
really humongous,1.62
huge,1.04
very huge,1.86
less huge,0.73
more huge,1.24
much huge,1.55
really huge,1.66
galactic,1.1
very galactic,1.99
less galactic,0.77
more galactic,1.33
much galactic,1.66
really galactic,1.77
ample,1.01
very ample,1.83
less ample,0.71
more ample,1.22
much ample,1.52
really ample,1.62
immense,1.08
very immense,1.95
less immense,0.76
more immense,1.3
much immense,1.62
really immense,1.73
rangy,1.07
very rangy,1.92
less rangy,0.75
more rangy,1.28
much rangy,1.6
really rangy,1.71
extensive,1.08
very extensive,1.95
less extensive,0.76
more extensive,1.3
much extensive,1.62
really extensive,1.73
king-sized,1.02
very king-sized,1.84
less king-sized,0.71
more king-sized,1.22
much king-sized,1.53
really king-sized,1.63
full-size,1.18
very full-size,2.13
less full-size,0.83
more full-size,1.42
much full-size,1.77
really full-size,1.89
life-size,1.09
very life-size,1.97
less life-size,0.77
more life-size,1.31
much life-size,1.64
really life-size,1.75
astronomical,1.17
very astronomical,2.1
less astronomical,0.82
more astronomical,1.4
much astronomical,1.75
really astronomical,1.87
walloping,1.2
very walloping,2.15
less walloping,0.84
more walloping,1.43
much walloping,1.79
really walloping,1.91
queen-sized,1.07
very queen-sized,1.92
less queen-sized,0.75
more queen-sized,1.28
much queen-sized,1.6
really queen-sized,1.71
double,1.1
very double,1.97
less double,0.77
more double,1.31
much double,1.64
really double,1.75
big,0.9
very big,1.62
less big,0.63
more big,1.08
much big,1.35
really big,1.44
biggest,1.14
very biggest,2.05
less biggest,0.8
more biggest,1.37
much biggest,1.71
really biggest,1.82
